atom_id 	 atom_type 	 (bonded_atom_id, bond_order, arithmetic_avg_stress, absolute_geometric_avg_stress:q!, bond_distance) 
  1899 	   	   1 	  	    (97 0.929000 839788.739756 6567332682954.081055 1.584160), (1339 0.935000 455199.751938 9287577112450.875000 1.566447), (4525 0.927000 840478.777409 6562451963174.821289 1.590023), (5240 0.917000 769817.966777 7062244423675.795898 1.620028), 
  1900 	   	   2 	  	    (5754 0.936000 765183.468439 8381967687839.370117 1.561851), (4838 0.915000 418548.341085 6836397547718.900391 1.624600), 
  1901 	   	   2 	  	    (6212 0.926000 1627624.956811 6766561409777.597656 1.592807), (2500 0.910000 1712827.384275 7012094405455.962891 40.965420), 
  1902 	   	   2 	  	    (6244 0.932000 915721.011074 4741349523537.184570 1.576925), (1291 0.929000 1332292.156146 5946455703081.383789 1.584067), 
  1903 	   	   2 	  	    (550 0.942000 573104.947951 5889165890606.164062 53.649586), (1675 0.933000 730841.470653 6495003379018.705078 1.572743), 
  1904 	   	   2 	  	    (5620 0.930000 592357.040975 4714952517080.808594 1.583140), (6899 0.924000 527839.867110 4500963900466.500000 1.598336), 
  1905 	   	   2 	  	    (3871 0.924000 234793.444075 6530440132988.190430 1.600129), (99 0.902000 268972.713178 9352567985838.931641 1.656026), 
  1906 	   	   1 	  	    (6504 0.906000 1527438.192691 5903509757648.352539 1.646890), (4479 0.910000 1375392.620155 7240714671203.501953 1.638065), (4792 0.916000 879069.253599 11605761501578.738281 1.621439), (4811 0.951000 1268904.265781 8177254606768.012695 1.509395), 
  1907 	   	   1 	  	    (6437 0.914000 1258727.813953 7336494701718.331055 1.627923), (2382 0.914000 1152422.772979 8239133734555.385742 1.626120), (5469 0.908000 1648872.416390 4023766129475.955566 1.641157), (5941 0.923000 1401354.524917 6125447367926.989258 1.603346), 
  1908 	   	   1 	  	    (2477 0.924000 1402367.681063 8884959472188.585938 1.600440), (1743 0.914000 1949541.173865 3745311207185.170898 1.627943), (3208 0.943000 1523149.129568 7750448808898.598633 1.538366), (6606 0.923000 1466327.176080 8284182365992.560547 1.602629), 
  1909 	   	   2 	  	    (4682 0.931000 677237.794020 7431583352654.582031 1.578218), (2066 0.938000 823591.122924 8055551493935.717773 1.555737), 
  1910 	   	   2 	  	    (3987 0.893000 1916020.146179 3693146163271.096191 1.677618), (6507 0.934000 1569787.694352 3140766612088.390625 1.570235), 
  1911 	   	   2 	  	    (5467 0.900000 1289449.224806 5253069567622.793945 1.662360), (6482 0.923000 1138808.462901 4849252324274.574219 41.251991), 
  1912 	   	   2 	  	    (6426 0.926000 667672.877076 9603789768963.138672 1.594941), (2872 0.921000 523079.884828 8880120964264.091797 1.609701), 
  1913 	   	   1 	  	    (1739 0.940000 999614.516058 7577768011520.811523 1.550044), (5009 0.933000 1016800.265781 7442747632503.726562 1.573296), (2255 0.930000 1275865.488372 5407393626543.624023 1.580579), (2333 0.943000 1147148.465116 6418662936636.331055 1.537184), 
  1914 	   	   1 	  	    (4299 0.935000 822099.384275 6539565026693.768555 1.569531), (6405 0.921000 1111375.153931 4509860803400.095703 1.609299), (3149 0.939000 892738.037652 6043928723457.914062 1.555471), (2390 0.936000 1193454.387597 3933951637508.312500 1.561597), 
  1915 	   	   2 	  	    (6754 0.935000 1343892.668051 3926101597566.703125 1.564656), (5490 0.591000 2016074.603821 5338084324058.014648 2.053113), 
  1916 	   	   2 	  	    (1479 0.926000 403078.148394 7953324018730.644531 1.593686), (814 0.939000 238970.755260 7150594191814.226562 1.552414), 
  1917 	   	   2 	  	    (6388 0.937000 749005.895903 7086957828409.383789 1.561468), (5743 0.951000 871944.828350 7582768089092.308594 1.510168), 
  1918 	   	   2 	  	    (5588 0.935000 795912.132890 6062539307436.672852 1.565294), (2930 0.936000 605130.967885 5378873519490.075195 1.564084), 
  1919 	   	   2 	  	    (6007 0.930000 506293.165006 7916443016391.173828 1.582950), (6339 0.940000 780089.913621 9204664133880.968750 1.548127), 
  1920 	   	   1 	  	    (3704 0.938000 1365575.211517 6400159833653.098633 1.558283), (4546 0.942000 1521366.758583 5078904568634.746094 1.543385), (1185 0.924000 895123.951274 10390018181171.335938 41.054092), (4571 0.928000 1420736.584718 5932340775818.329102 1.586834), 
  1921 	   	   1 	  	    (4575 0.938000 642278.431894 8493707203632.231445 1.557817), (2030 0.918000 989886.157254 5972432610820.256836 1.617222), (1150 0.924000 1124771.977852 4994076355785.284180 1.599800), (5511 0.931000 1247407.911406 4104571201325.915039 40.925171), 
  1922 	   	   1 	  	    (1967 0.917000 935232.629014 8047311623324.514648 1.619812), (3485 0.915000 1000755.180509 7533326572620.901367 1.624943), (3479 0.950000 513709.147287 11353910087289.843750 1.515510), (6851 0.929000 1228912.974529 5743565755130.769531 1.584918), 
  1923 	   	   2 	  	    (2000 0.926000 365271.211517 9335029182382.015625 1.594397), (6169 0.951000 964209.187154 12583445731795.152344 1.507884), 
  1924 	   	   2 	  	    (6041 0.959000 794485.935770 9765186499593.914062 1.488405), (4675 0.929000 625406.121816 8943506591739.382812 1.586578), 
  1925 	   	   2 	  	    (2865 0.932000 470348.819491 1634168996583.672607 45.740768), (5294 0.946000 1319512.726467 3148705075998.209961 1.528326), 
  1926 	   	   2 	  	    (6257 0.917000 1278932.553710 5233485879028.771484 1.620531), (1817 0.929000 1575895.495017 6030519333172.031250 1.584004), 
  1927 	   	   2 	  	    (5474 0.902000 1189405.856035 6722822683237.791016 1.656109), (2265 0.938000 1304944.815061 7107157503502.603516 1.555026), 
  1928 	   	   2 	  	    (5251 0.935000 499985.714286 6933641024044.062500 1.567183), (6482 0.936000 718852.850498 7888008170862.284180 41.944256), 
